date,1. open,2. high,3. low,4. close,5. volume
2014-04-08,1.7906,1.7926,1.7831,1.791,0.0
2014-04-07,1.792,1.7948,1.7829,1.792,0.0
2014-04-06,1.7846,1.7951,1.7828,1.7845,0.0
2014-04-03,1.7972,1.7972,1.7811,1.7977,0.0
2014-04-02,1.7978,1.8069,1.7946,1.7977,0.0
2014-04-01,1.7997,1.8024,1.7971,1.7998,0.0
2014-03-31,1.7969,1.803,1.7929,1.7974,0.0
2014-03-30,1.7987,1.8045,1.7959,1.7974,0.0
2014-03-27,1.7914,1.8001,1.7874,1.792,0.0
2014-03-26,1.7973,1.8019,1.7918,1.7977,0.0
2014-03-25,1.8044,1.8061,1.7893,1.804,0.0
2014-03-24,1.8071,1.8076,1.8014,1.8067,0.0
2014-03-23,1.8137,1.8204,1.8051,1.8133,0.0
2014-03-20,1.8263,1.8263,1.8131,1.8264,0.0
2014-03-19,1.8308,1.8367,1.8248,1.8305,0.0
2014-03-18,1.8175,1.8281,1.8167,1.8168,0.0
2014-03-17,1.8314,1.8357,1.8121,1.8314,0.0
2014-03-16,1.8429,1.8449,1.8273,1.8432,0.0
2014-03-13,1.8406,1.8463,1.8359,1.8406,0.0
2014-03-12,1.8467,1.8473,1.8311,1.8472,0.0
2014-03-11,1.854,1.8594,1.8499,1.8535,0.0
2014-03-10,1.8441,1.8465,1.837,1.8438,0.0
2014-03-09,1.8475,1.8547,1.839,1.8466,0.0
2014-03-06,1.8389,1.8445,1.8344,1.8382,0.0
2014-03-05,1.8615,1.8622,1.841,1.8614,0.0
2014-03-04,1.8603,1.864,1.8532,1.8612,0.0
2014-03-03,1.8672,1.8678,1.8598,1.8672,0.0
2014-03-02,1.8793,1.8821,1.8694,1.8789,0.0
2014-02-27,1.863,1.8749,1.8566,1.8625,0.0
2014-02-26,1.859,1.8692,1.8584,1.8591,0.0
2014-02-25,1.8503,1.8595,1.8477,1.8507,0.0
2014-02-24,1.8429,1.8529,1.8417,1.8429,0.0
